epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.91370985079088,99.8605859375,99.7590803527832,99.93633193969727,99.99548858642578,99.96556610107422,-6.392753477096558,-4.186185653209686,-7.20999445438385,-7.188967247009277,-4.134024677276611,99.77403773663409,99.67567064648583,99.403831413814,99.85153320857457,99.98157196953183,99.92670084181286,-6.474741304914157,-4.364535480737686,-7.464293162382784,-6.962795766336577,-3.7968100096498216
1,99.57304609870916,99.41251739501953,98.83651458740235,99.72605224609374,99.94428833007812,99.8600732421875,-6.991640071868897,-4.317801778316498,-8.193057470321655,-7.743679127693176,-4.0581245565414426,99.300599981485,99.06045913696289,98.12742408116658,99.55665561131069,99.88715823491414,99.77529562087287,-6.398086347750255,-4.276974904750075,-7.422131456434727,-6.949967090572629,-3.785596089703696
2,98.91210007898049,98.51236022949219,97.23681289672851,99.30354156494141,99.78193298339843,99.63991134643555,-6.055871295928955,-4.276053848266602,-6.958926124572754,-6.4653555393219,-3.2544731092453003,98.33864999907917,97.7415919303894,95.66015070960636,98.97205064410255,99.63778436751593,99.46024980999175,-6.23508065619639,-4.109800614416599,-7.3386664397659755,-6.916123553755737,-3.762185348641305
3,97.57290683944127,96.68094436645508,93.87831436157227,98.50451934814453,99.41420059204101,99.21067794799805,-6.393859925270081,-4.165556681156159,-7.624462947845459,-7.135736742019653,-3.5906878519058227,96.63232158691626,95.38101305280414,91.32118929000129,97.96424395697457,99.15157052448818,98.92077230271839,-5.947899102809883,-3.816803701931522,-7.1954926397828824,-6.850130221318631,-3.7220867907717112
4,95.47574479165685,93.7363345336914,88.72157638549805,97.28670852661133,98.79958694458008,98.54068222045899,-6.054545431137085,-4.099174780845642,-7.416560688018799,-6.944122867584229,-3.33828341960907,94.20726288719953,91.96138030006772,85.307220913115,96.5322824886867,98.4092812538147,98.15977151053292,-5.543302088975906,-3.4083476400091532,-6.993865429645493,-6.74968153593086,-3.665549623114722
