global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,234,100.00028991699219,100.00028991699219,0.001,5.4370222091674805
1,0,1,123,99.99949645996094,99.99984144127887,0.001,4.942047119140625
2,0,2,190,99.9990234375,99.99958505203475,0.001,5.065697431564331
3,0,3,225,99.99895477294922,99.99942398071289,0.001,5.273761510848999
4,0,4,88,99.99870300292969,99.99929558740904,0.001,3.4805941581726074
5,0,5,184,99.99600982666016,99.99887611466654,0.001,3.2737083435058594
6,0,6,98,99.99740600585938,99.99876763956549,0.001,4.02149510383606
7,0,7,52,99.99650573730469,99.99839187361538,0.001,4.93734335899353
8,0,8,53,99.9971923828125,99.99827018373986,0.001,2.8051466941833496
9,0,9,94,99.99649810791016,99.99815135982865,0.001,3.261784553527832
10,0,10,172,99.99554443359375,99.99789658169749,0.001,5.166266441345215
11,0,11,56,99.99628448486328,99.99775633235532,0.001,3.123445510864258
12,0,12,193,99.985595703125,99.99648457586711,0.001,3.584254264831543
13,0,13,63,99.99423217773438,99.99641000343618,0.001,2.4311625957489014
14,0,14,226,99.99423217773438,99.99634021065097,0.001,2.792675495147705
15,0,15,25,99.99505615234375,99.99622597262632,0.001,5.055051803588867
16,0,16,252,99.99439239501953,99.99607830745236,0.001,3.753840208053589
17,0,17,95,99.99297332763672,99.99595384600167,0.001,2.9988369941711426
18,0,18,276,99.99314880371094,99.99576988881044,0.001,4.6239683628082275
19,0,19,268,99.99309539794922,99.9955928255219,0.001,4.600240468978882
20,0,20,82,99.97154235839844,99.99407304876844,0.001,3.6842563152313232
21,0,21,233,99.98990631103516,99.99388228750769,0.001,3.726215362548828
22,0,22,104,99.9912338256836,99.99375008919577,0.001,5.20651912689209
23,0,23,129,99.98965454101562,99.99357538573896,0.001,3.521524667739868
24,0,24,69,99.99075317382812,99.99342408561225,0.001,3.7950923442840576
25,0,25,75,99.98822021484375,99.99327858824446,0.001,4.382181644439697
26,0,26,120,99.96261596679688,99.99214732982698,0.001,4.734108924865723
27,0,27,231,99.9885482788086,99.99201626233129,0.001,3.5434389114379883
28,0,28,263,99.9836654663086,99.99172283521429,0.001,3.2112348079681396
29,0,29,199,99.98700714111328,99.99152986369928,0.001,5.116391897201538
30,0,30,156,99.98491668701172,99.99131426685004,0.001,3.7108633518218994
31,0,31,46,99.97972869873047,99.99105964381185,0.001,3.2149503231048584
32,0,32,5,99.97915649414062,99.99070033651458,0.001,3.351839542388916
33,0,33,241,99.97779846191406,99.99051311540664,0.001,3.740962028503418
34,0,34,21,99.9661636352539,99.9899943975621,0.001,3.978154182434082
35,0,35,284,99.98219299316406,99.98977369196933,0.001,3.5876755714416504
36,0,36,165,99.9804458618164,99.98951098023996,0.001,3.0698792934417725
37,0,37,182,99.97906494140625,99.98913941539867,0.001,4.799606561660767
38,0,38,116,99.97621154785156,99.98879754828896,0.001,4.198888063430786
39,0,39,171,99.9008560180664,99.98775795328244,0.001,2.37040638923645
40,0,40,311,99.97332763671875,99.98736578476644,0.001,3.3759448528289795
41,0,41,70,99.97118377685547,99.98708711655574,0.001,3.78116512298584
42,0,42,194,99.96957397460938,99.98679012742268,0.001,4.259809970855713
43,0,43,85,99.96207427978516,99.98646212298227,0.001,3.170238733291626
44,0,44,238,99.96731567382812,99.9861470176957,0.001,2.881319761276245
45,0,45,251,99.95088195800781,99.98578993451285,0.001,3.2266831398010254
46,0,46,118,99.96739196777344,99.98536586119019,0.001,4.969387054443359
47,0,47,137,99.96879577636719,99.98488035560837,0.001,4.039011716842651
48,0,48,62,99.96290588378906,99.98436589831144,0.001,4.03613543510437
49,0,49,228,99.95821380615234,99.9839639964021,0.001,3.539764881134033
50,1,0,295,99.88623809814453,99.88623809814453,0.001,3.615295171737671
51,1,1,181,99.9369125366211,99.89960742980583,0.001,3.795393943786621
52,1,2,117,99.944580078125,99.91869637603529,0.001,4.409297227859497
53,1,3,291,99.95085144042969,99.92655404736496,0.001,2.8631577491760254
54,1,4,89,99.92894744873047,99.92685940136995,0.001,3.1482856273651123
55,1,5,209,99.95206451416016,99.93226709171218,0.001,4.808791160583496
56,1,6,248,99.89251708984375,99.92363640716066,0.001,3.766315460205078
57,1,7,150,99.80207824707031,99.91486869419775,0.001,2.2175140380859375
58,1,8,81,99.8906478881836,99.91348006068982,0.001,2.73809814453125
59,1,9,149,99.93952178955078,99.91600777035845,0.001,3.95243501663208
60,1,10,22,99.91326904296875,99.91584132031576,0.001,3.9400200843811035
61,1,11,54,99.89546966552734,99.91478480576936,0.001,2.3099775314331055
62,1,12,274,99.8779296875,99.9108063569682,0.001,3.289436101913452
63,1,13,275,99.93120574951172,99.91266485444925,0.001,3.21037220954895
64,1,14,80,99.93377685546875,99.91495163058426,0.001,5.442083120346069
65,1,15,42,99.92803955078125,99.91598201232688,0.001,3.97445011138916
66,1,16,180,99.91861724853516,99.9161782421178,0.001,3.665214776992798
67,1,17,334,99.90113067626953,99.91571269995579,0.001,2.422999382019043
68,1,18,147,99.91854858398438,99.91592911081966,0.001,5.2053680419921875
69,1,19,179,99.91856384277344,99.91614096792121,0.001,3.684725522994995
70,1,20,186,99.89096069335938,99.91542561921206,0.001,2.4820902347564697
71,1,21,11,99.89823150634766,99.91447936602087,0.001,3.465315341949463
72,1,22,26,99.89704132080078,99.91382600256946,0.001,4.7419209480285645
73,1,23,307,99.90380859375,99.91317269329863,0.001,3.876307249069214
74,1,24,96,99.8968505859375,99.91260199024406,0.001,3.1230969429016113
75,1,25,32,99.89221954345703,99.91180312614826,0.001,3.2980332374572754
76,1,26,255,99.88883972167969,99.91098477588102,0.001,4.799360513687134
77,1,27,266,99.86024475097656,99.90888373965309,0.001,3.6359193325042725
78,1,28,227,99.88624572753906,99.90794048914833,0.001,2.8771207332611084
79,1,29,229,99.86497497558594,99.90622186860584,0.001,3.45354962348938
80,1,30,2,99.86985778808594,99.90441189174739,0.001,5.643437385559082
81,1,31,7,99.87605285644531,99.9030911739317,0.001,3.6572928428649902
82,1,32,115,99.86598205566406,99.90182325264253,0.001,3.2898426055908203
83,1,33,318,99.80894470214844,99.89875468109979,0.001,4.026067018508911
84,1,34,110,99.8539047241211,99.89732029412959,0.001,4.793109893798828
85,1,35,130,99.8496322631836,99.89580750325382,0.001,3.5229477882385254
86,1,36,67,99.82679748535156,99.89432832550172,0.001,3.3524107933044434
87,1,37,327,99.85147857666016,99.89268447519166,0.001,4.765147924423218
88,1,38,375,99.74085998535156,99.89055651710147,0.001,3.257613182067871
89,1,39,161,99.84248352050781,99.8888686189707,0.001,3.6135706901550293
90,1,40,261,99.83203887939453,99.88704605021395,0.001,3.659944534301758
91,1,41,381,99.8281021118164,99.88546908044712,0.001,4.144579648971558
92,1,42,339,99.74246215820312,99.8818292674188,0.001,4.370506525039673
93,1,43,314,99.81268310546875,99.87978805230588,0.001,3.720649242401123
94,1,44,367,99.82365417480469,99.87795604406514,0.001,3.597501277923584
95,1,45,9,99.79414367675781,99.87628063442382,0.001,4.535787105560303
96,1,46,100,99.7040786743164,99.87224662071706,0.001,3.670619010925293
97,1,47,200,99.76378631591797,99.86907539556151,0.001,3.7109875679016113
