epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.94922637939453,99.91067504882812,99.79572296142578,100.01454162597656,100.00467681884766,100.01697540283203,-7.190896034240723,-4.875547885894775,-8.45499038696289,-7.8099894523620605,-3.7595999240875244,99.8816146850586,99.79840850830078,99.52462005615234,100.02206420898438,100.00626373291016,100.03451538085938,-6.49007511138916,-4.372805118560791,-7.488750457763672,-6.966175556182861,-3.8048055171966553
1,99.76751708984375,99.61066436767578,99.04943084716797,100.01788330078125,99.99958038330078,100.05157470703125,-6.575350284576416,-4.218752384185791,-7.672430515289307,-7.3426008224487305,-3.8891870975494385,99.61970520019531,99.37786865234375,98.59825134277344,100.00479888916016,99.98571014404297,100.06500244140625,-6.4375739097595215,-4.309154510498047,-7.4862751960754395,-6.963345527648926,-3.8070638179779053
2,99.40754699707031,99.04541778564453,97.87699127197266,99.97177124023438,99.95360565185547,100.0730209350586,-6.283890247344971,-4.409837245941162,-7.325334072113037,-6.449499607086182,-3.2537496089935303,99.12572479248047,98.60675811767578,96.96878051757812,99.92181396484375,99.90753936767578,100.0769271850586,-6.341813564300537,-4.19820499420166,-7.474362850189209,-6.952732086181641,-3.8079473972320557
3,98.75503540039062,98.01573181152344,95.85301971435547,99.83403015136719,99.8313217163086,100.06867218017578,-6.112633228302002,-4.103693962097168,-7.399807929992676,-6.848519802093506,-3.725705623626709,98.25615692138672,97.2976303100586,94.20348358154297,99.7179946899414,99.73200225830078,100.05252838134766,-6.180622100830078,-4.01153564453125,-7.445184707641602,-6.928914546966553,-3.8061399459838867
4,97.69808197021484,96.41999053955078,92.59032440185547,99.55789184570312,99.59728240966797,100.02155303955078,-6.2152252197265625,-3.6728758811950684,-7.867324352264404,-8.019527435302734,-4.1343770027160645,96.95750427246094,95.36073303222656,90.1976089477539,99.36487579345703,99.43769836425781,99.9772720336914,-5.945459842681885,-3.740846872329712,-7.394718647003174,-6.888949394226074,-3.8005599975585938
