epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,111.20845794677734,123.0066146850586,124.62933349609375,108.99137878417969,104.87012481689453,98.01729583740234,-35.28312683105469,-35.45802688598633,-31.222196578979492,-29.940725326538086,-27.655197143554688,110.4413833618164,123.04529571533203,124.66061401367188,108.69180297851562,104.5740737915039,97.75640106201172,-40.61283874511719,-40.7353515625,-35.591426849365234,-34.009559631347656,-31.118953704833984
1,110.01090240478516,122.13619995117188,123.65094757080078,108.08821105957031,104.00261688232422,97.22370147705078,-41.239952087402344,-41.43411636352539,-35.304073333740234,-33.62455749511719,-30.72308349609375,110.43360900878906,123.04454803466797,124.64777374267578,108.6837387084961,104.56881713867188,97.74390411376953,-40.612369537353516,-40.7271728515625,-35.585899353027344,-34.005863189697266,-31.110071182250977
2,109.14070129394531,120.76493072509766,122.2752456665039,106.62744903564453,102.60526275634766,95.9645767211914,-44.531673431396484,-44.550636291503906,-39.328731536865234,-37.57087326049805,-34.3622932434082,110.3818130493164,123.02014923095703,124.56297302246094,108.63414001464844,104.52783203125,97.68125915527344,-40.596466064453125,-40.67312240600586,-35.55162811279297,-33.977169036865234,-31.06554412841797
3,112.45318603515625,124.26807403564453,125.69029998779297,109.92736053466797,105.8486328125,99.02982330322266,-41.30000305175781,-41.311885833740234,-36.26777648925781,-34.74243927001953,-31.971071243286133,110.15867614746094,122.86041259765625,124.22602081298828,108.41212463378906,104.34078216552734,97.45521545410156,-40.492645263671875,-40.458126068115234,-35.39834976196289,-33.84630584716797,-30.904769897460938
4,110.3599853515625,123.20999908447266,124.3328628540039,108.36740112304688,104.27554321289062,97.28791809082031,-48.71870040893555,-48.597618103027344,-42.4525032043457,-40.51190948486328,-36.8514289855957,109.61701202392578,122.39827728271484,123.45341491699219,107.87311553955078,103.87113952636719,96.95252227783203,-40.19160842895508,-39.96345138549805,-35.0261116027832,-33.517757415771484,-30.546865463256836
