epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.9631576538086,99.88175964355469,99.87820434570312,100.02442169189453,100.00523376464844,100.03170776367188,-11.36998176574707,-8.775733947753906,-12.705867767333984,-12.912586212158203,-12.001180648803711,99.9048843383789,99.72502899169922,99.71178436279297,100.03853607177734,100.00173950195312,100.05927276611328,-10.933149337768555,-8.256868362426758,-12.235960960388184,-12.701119422912598,-12.287994384765625
1,99.7558822631836,99.33280181884766,99.3676986694336,100.01312255859375,99.95983123779297,100.0820541381836,-11.252392768859863,-8.544049263000488,-12.53930377960205,-12.847490310668945,-12.384659767150879,99.52076721191406,98.80911254882812,98.93222045898438,99.94176483154297,99.8821792602539,100.0826187133789,-10.73997688293457,-8.137392044067383,-12.213628768920898,-12.67261791229248,-12.293265342712402
2,99.05887603759766,97.86729431152344,98.12921142578125,99.76708221435547,99.7082290649414,100.0340347290039,-12.936750411987305,-9.717318534851074,-14.4603910446167,-14.705531120300293,-14.116418838500977,98.52630615234375,96.70750427246094,97.1134262084961,99.52364349365234,99.47008514404297,99.94920349121094,-10.30143928527832,-7.860713481903076,-12.116362571716309,-12.572890281677246,-12.263117790222168
3,97.69335174560547,94.99263763427734,95.5473403930664,99.11856079101562,99.07948303222656,99.77783203125,-10.555246353149414,-7.9272685050964355,-12.667047500610352,-13.107582092285156,-12.944706916809082,96.72803497314453,93.17658233642578,93.84880828857422,98.67190551757812,98.65963745117188,99.57862854003906,-9.584136962890625,-7.375423908233643,-11.916784286499023,-12.375755310058594,-12.177624702453613
4,95.46903991699219,90.91937255859375,91.68579864501953,98.06072998046875,98.08810424804688,99.28673553466797,-9.39785385131836,-7.249373912811279,-11.920706748962402,-12.431672096252441,-12.379216194152832,94.25164794921875,88.51907348632812,89.3646011352539,97.41452026367188,97.49564361572266,98.97994232177734,-8.677088737487793,-6.733658790588379,-11.62405014038086,-12.094030380249023,-12.037947654724121
