global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,172,87.48945617675781,87.48945617675781,0.001,6.903021335601807
1,0,1,192,90.86766052246094,89.07165314879599,0.001,5.983943223953247
2,0,2,29,87.12738800048828,88.2683123957812,0.001,6.808726787567139
3,0,3,167,87.65142822265625,88.12162231639692,0.001,5.511316776275635
4,0,4,2,87.61544799804688,88.00142981770614,0.001,5.394030332565308
5,0,5,225,89.18389129638672,88.19735319643394,0.001,8.194297313690186
6,0,6,100,87.802001953125,88.1454024659874,0.001,5.063568830490112
7,0,7,256,89.86640930175781,88.4019785266946,0.001,6.524045944213867
8,0,8,130,89.36360168457031,88.49868770988714,0.001,6.940500974655151
9,0,9,75,89.1288833618164,88.54095650124015,0.001,5.951231241226196
10,0,10,7,88.02622985839844,88.48554886899963,0.001,6.664186954498291
11,0,11,122,84.908447265625,88.34840321182051,0.001,4.133325815200806
12,0,12,170,90.0859146118164,88.47229021835395,0.001,6.085721492767334
13,0,13,178,85.22311401367188,88.36057709458974,0.001,4.944419622421265
14,0,14,213,85.02769470214844,88.13614056984622,0.001,5.627192974090576
15,0,15,154,90.67823791503906,88.26388415503179,0.001,6.1881396770477295
16,0,16,19,91.45870971679688,88.42554223608106,0.001,4.7787041664123535
17,0,17,11,87.20500946044922,88.35724437365317,0.001,5.127058982849121
18,0,18,235,85.1160888671875,88.27952917568277,0.001,4.7627112865448
19,0,19,153,87.75053405761719,88.25150117649171,0.001,5.263296127319336
20,0,20,42,90.93888854980469,88.3837391050535,0.001,4.693040132522583
21,0,21,52,87.63314056396484,88.33808045939318,0.001,7.791342258453369
22,0,22,70,90.74391174316406,88.41418736956729,0.001,4.876171350479126
23,0,23,84,91.37537384033203,88.5498795208818,0.001,6.670249700546265
24,0,24,208,89.22769165039062,88.5763208042535,0.001,5.5962255001068115
25,0,25,193,86.88789367675781,88.48831560732152,0.001,7.23466420173645
26,0,26,245,89.0888900756836,88.50438671353619,0.001,6.423959493637085
27,0,27,200,87.35031127929688,88.44961067060058,0.001,6.018096923828125
28,0,28,254,85.75756072998047,88.3537696080597,0.001,6.292222023010254
29,0,29,94,87.72496795654297,88.34021026165863,0.001,5.680586576461792
30,0,30,237,91.18865966796875,88.4093627690444,0.001,4.631525754928589
31,0,31,25,90.5404281616211,88.50017111055149,0.001,7.3807642459869385
32,0,32,27,90.63448333740234,88.58282707941797,0.001,5.981064319610596
33,0,33,205,84.0259780883789,88.51594859709704,0.001,5.794075012207031
34,0,34,186,83.43795013427734,88.44249945192617,0.001,4.180197477340698
35,0,35,276,91.34407806396484,88.54200009610481,0.001,5.044165372848511
36,0,36,248,87.18982696533203,88.4937350305712,0.001,7.630924463272095
37,0,37,82,86.69290161132812,88.43054070721466,0.001,5.344735622406006
38,0,38,296,89.06829071044922,88.44273614016419,0.001,6.211808443069458
39,0,39,165,88.58061981201172,88.44633126329525,0.001,5.607858896255493
40,0,40,118,87.97393798828125,88.4343272595135,0.001,5.801401615142822
41,0,41,77,87.52635192871094,88.4045719489785,0.001,8.093855857849121
42,0,42,26,85.83560180664062,88.36170219274425,0.001,5.32486367225647
43,0,43,116,87.98246002197266,88.35275290212725,0.001,6.074626684188843
44,0,44,233,87.0062026977539,88.3224322736323,0.001,5.9147562980651855
45,0,45,38,89.62799072265625,88.34636390452299,0.001,5.201719045639038
46,0,46,282,88.6319808959961,88.34941077013949,0.001,6.194442987442017
47,0,47,157,89.94666290283203,88.37786103274163,0.001,5.201009511947632
48,0,48,86,84.351318359375,88.33610978342284,0.001,3.4799273014068604
49,0,49,197,91.08283233642578,88.39328015372128,0.001,6.418590784072876
50,1,0,85,88.3572769165039,88.3572769165039,0.001,6.159820318222046
51,1,1,15,87.79519653320312,87.99408651498648,0.001,5.077592849731445
52,1,2,284,90.92330169677734,89.1270848400188,0.001,6.090676307678223
53,1,3,24,92.0120620727539,90.02629852294922,0.001,7.425382375717163
54,1,4,150,82.2469482421875,89.17191901234533,0.001,4.1435558795928955
55,1,5,181,88.9605712890625,89.15497860597293,0.001,5.518937110900879
