epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,88.39328015372128,84.76368743896484,82.20100158691406,89.606484375,91.1519255065918,93.37422729492188,-2.6296957468986513,-3.0849022936820982,-1.898852400779724,-1.8943307828903198,-1.380603744983673,88.65199999896055,85.05292388371059,82.4828872680664,89.85116899581183,91.3771014213562,93.57237627392723,-2.3097842963678494,-2.6886309282410714,-1.5246871869478906,-1.3115415143824758,-1.0647977317372959
1,88.20038259311612,84.28602676391601,81.68123474121094,89.32415344238281,90.81675155639648,93.04043685913086,-2.4309196996688844,-2.6409538769721985,-1.6942376828193664,-1.5417484140396118,-1.1068887519836426,88.62754355620906,84.99293972197033,82.43429860614594,89.84295531681606,91.36714849017915,93.57608547664825,-2.305385397303672,-2.684584663737388,-1.5243128321710087,-1.3111525475978851,-1.0649091108214288
2,88.43227296503186,84.67204833984376,82.26729675292968,89.56917984008788,91.09501251220703,93.37693725585937,-1.978367931842804,-2.5735588836669923,-1.1804064154624938,-1.0516240739822387,-1.0330348086357117,88.5413476511569,84.81173040753319,82.28725996471587,89.79666682652065,91.31913730076381,93.56527519226074,-2.2921439572459175,-2.672386860208852,-1.5221976410774958,-1.30927935952232,-1.0645849296734446
3,88.62507217193678,84.78286529541016,82.2164291381836,89.88991790771485,91.45485763549804,93.77500534057617,-2.0691202116012573,-2.892666370868683,-1.3140848278999329,-1.1490199232101441,-0.9176733613014221,88.36416244831295,84.48025201615833,81.99569204875401,89.68295183635894,91.20978986649286,93.52080270222255,-2.268015335003535,-2.648277208209038,-1.5170080672417368,-1.3050179421192123,-1.063252568244934
4,88.2302546182184,84.09191925048827,81.64699005126953,89.48856094360352,91.08403274536133,93.53963836669922,-2.0841626811027525,-2.550195407867432,-1.4024422144889832,-1.1634835934638976,-0.9982510852813721,88.07366317110822,83.9749258813404,81.52833134787423,89.47892395655315,91.02053365253266,93.42704659416562,-2.2314755611476444,-2.609850537209284,-1.5077194237992877,-1.2976599779157412,-1.0604474973820506
