global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
0,0,0,120,86.62774658203125,86.62774658203125,0.0010000000474974513
1,0,1,13,89.15425109863281,87.6744384765625,0.0010000000474974513
2,0,2,146,88.73019409179688,87.9090576171875,0.0010000000474974513
3,0,3,26,85.83711242675781,87.40412139892578,0.0010000000474974513
4,0,4,261,89.11351776123047,87.90269470214844,0.0010000000474974513
5,0,5,243,89.12638854980469,88.20045471191406,0.0010000000474974513
6,0,6,151,89.97720336914062,88.47168731689453,0.0010000000474974513
7,0,7,248,87.18738555908203,88.255615234375,0.0010000000474974513
8,0,8,232,89.05008697509766,88.37553405761719,0.0010000000474974513
9,0,9,256,89.86307525634766,88.57060241699219,0.0010000000474974513
10,0,10,265,88.2916259765625,88.54562377929688,0.0010000000474974513
11,0,11,38,89.62686157226562,88.61870574951172,0.0010000000474974513
12,0,12,113,91.3204345703125,88.79446411132812,0.0010000000474974513
13,0,13,267,88.82028198242188,88.7961196899414,0.0010000000474974513
14,0,14,100,87.79312896728516,88.72784423828125,0.0010000000474974513
15,0,15,156,88.60368347167969,88.71994018554688,0.0010000000474974513
16,0,16,1,86.25069427490234,88.5719985961914,0.0010000000474974513
17,0,17,245,89.08319854736328,88.5923080444336,0.0010000000474974513
18,0,18,153,87.74331665039062,88.5461196899414,0.0010000000474974513
19,0,19,96,88.49574279785156,88.54424285888672,0.0010000000474974513
20,0,20,284,90.919921875,88.65978240966797,0.0010000000474974513
21,0,21,178,85.21288299560547,88.57990264892578,0.0010000000474974513
22,0,22,21,85.44466400146484,88.47457122802734,0.0010000000474974513
23,0,23,130,89.35406494140625,88.51407623291016,0.0010000000474974513
24,0,24,231,90.03749084472656,88.5795669555664,0.0010000000474974513
25,0,25,235,85.10399627685547,88.51669311523438,0.0010000000474974513
26,0,26,16,88.22537231445312,88.50117492675781,0.0010000000474974513
27,0,27,56,88.60796356201172,88.50518035888672,0.0010000000474974513
28,0,28,184,90.8768539428711,88.57290649414062,0.0010000000474974513
29,0,29,278,84.4103012084961,88.5001449584961,0.0010000000474974513
30,0,30,7,88.0113296508789,88.47811126708984,0.0010000000474974513
31,0,31,214,84.47879028320312,88.41244506835938,0.0010000000474974513
32,0,32,234,90.55804443359375,88.48066711425781,0.0010000000474974513
33,0,33,295,87.0733413696289,88.43522644042969,0.0010000000474974513
34,0,34,122,84.8788833618164,88.38134765625,0.0010000000474974513
35,0,35,0,86.10121154785156,88.31428527832031,0.0010000000474974513
36,0,36,78,84.32330322265625,88.2593002319336,0.0010000000474974513
