epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,109.58974663962249,121.661171875,123.21144775390626,107.66972579956055,103.6109390258789,96.85530899047852,-39.990208568572996,-40.17242136001587,-34.77750436544418,-33.14548061370849,-30.16489835739136,110.44120125984341,123.04105137012623,124.66240084612811,108.69002511766222,104.57529039736147,97.7586142928512,-40.610070106056,-40.73651001630006,-35.59021601853547,-34.010394723327074,-31.12054251410343
1,111.22794038342053,123.53946182250976,125.15391799926758,109.20831283569336,105.04160202026367,98.10025360107421,-39.46365309238434,-39.63884741544724,-34.76675466060638,-33.2315247631073,-30.458915860652922,110.41877400521919,123.01121231361672,124.62948883904352,108.66729432565195,104.5656874621356,97.73989317152235,-40.59068218756605,-40.71555617120531,-35.57453829712338,-34.00368066297637,-31.10723595376368
2,111.75327021927622,123.84714752197266,125.45249893188476,109.55940795898438,105.39415222167969,98.41866409301758,-40.41026701927185,-40.578057160377504,-35.192258517742154,-33.63237898588181,-30.757519781589508,110.31043703878652,122.87249127140751,124.48225296868219,108.55944640548141,104.49810557895236,97.65164022092466,-40.50051841691688,-40.62173863031246,-35.50013222959306,-33.95641968647639,-31.044499067244708
3,110.5040900390901,122.95736358642579,124.5281935119629,108.73442321777344,104.6684538269043,97.74820419311523,-41.75014848709107,-41.81437032699585,-36.67348679304123,-35.14934723138809,-32.238388481140134,110.06574451675645,122.5673366829201,124.16256071020055,108.31848801506891,104.32101793642397,97.45331213209364,-40.3018388096933,-40.417654229534996,-35.33380368793452,-33.832547988052724,-30.90346771589032
4,112.73961959778087,124.44370788574219,126.09949264526367,110.00577316284179,105.97134384155274,98.94508560180664,-41.75923631191254,-41.909118003845215,-36.99529003143311,-35.42835972547531,-32.361405396461485,109.64027195699488,122.04439036051433,123.61794839081941,107.90123600429959,103.99256430731879,97.10859729625561,-39.96063359688829,-40.06899840522696,-35.04554435610771,-33.602753465926206,-30.658103046593844
