epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,88.76318928897034,85.19771530151367,82.6682177734375,89.88999313354492,91.48672897338867,93.71402481079102,-1.968487904071808,-2.628799383640289,-1.3078149604797362,-1.3405240368843079,-1.2598391723632814,88.65196695139298,85.06277908597674,82.48340320587158,89.85063652765183,91.37130230949039,93.56821157818749,-2.3105051911302974,-2.688669981346244,-1.524664394557476,-1.311315503503595,-1.0646728177865346
1,88.27769876212868,84.42226150512695,81.95244842529297,89.3088914489746,90.80786026000976,93.10151824951171,-2.6315197920799256,-3.0051077723503115,-1.729539041519165,-1.5275296068191528,-1.1649168062210082,88.62625218787299,85.03823988778251,82.42971016111828,89.83678944905598,91.34436257680257,93.55805862517585,-2.3087075714554106,-2.6842089306030954,-1.5240314397073926,-1.3102640981475513,-1.0643685970987593
2,88.60766308152407,85.01321258544922,82.37673858642579,89.82379348754883,91.35008071899414,93.64048690795899,-1.828898437023163,-2.616768674850464,-1.0223662400245666,-0.775962564945221,-0.7077669477462769,88.54467598259541,84.94848880313691,82.28041689736503,89.77740750994,91.27004044396537,93.52111537115914,-2.3021384431492713,-2.6718235707708766,-1.5213186478330976,-1.3073656115503538,-1.0632620354493458
3,88.3995318948199,84.56304428100586,81.7798957824707,89.57441513061524,91.07154754638673,93.40412322998047,-2.25111679315567,-2.517440161705017,-1.3738752317428589,-1.1089076590538025,-0.8862698936462402,88.36440891910247,84.7384751183646,81.96800118400937,89.63498783111572,91.11607453936622,93.43464465368362,-2.2868032100654783,-2.6459953866544224,-1.5148221953284173,-1.3013720562060673,-1.0606747141906194
4,88.06761111413094,84.19543258666992,81.28120101928711,89.29729629516602,90.83609146118164,93.32213897705078,-2.5365042376518248,-2.8514136624336244,-1.7734304928779603,-1.3314929056167601,-0.8940509557723999,88.04815655412858,84.35931251162575,81.4363883336385,89.37570644560314,90.85482756296794,93.27781904311408,-2.2592452817729543,-2.602323891151519,-1.5030315117467017,-1.2912357875279017,-1.055992076439517
