epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.91394805908203,99.86122131347656,99.75965118408203,99.9365234375,99.99546813964844,99.96561431884766,-6.392834663391113,-4.186224460601807,-7.210022449493408,-7.188965320587158,-4.134030342102051,99.77433013916016,99.67693328857422,99.40373992919922,99.85187530517578,99.98152923583984,99.92677307128906,-6.474896430969238,-4.364522457122803,-7.464341163635254,-6.9627861976623535,-3.796815872192383
1,99.57275390625,99.41236114501953,98.83549499511719,99.72593688964844,99.9441909790039,99.85993957519531,-6.991622447967529,-4.31773567199707,-8.193036079406738,-7.743663787841797,-4.058114528656006,99.30005645751953,99.05958557128906,98.12604522705078,99.55621337890625,99.88700103759766,99.77523803710938,-6.397977352142334,-4.276880741119385,-7.42206335067749,-6.949952125549316,-3.7855892181396484
2,98.91189575195312,98.51165008544922,97.2364273071289,99.30326843261719,99.78199005126953,99.64006042480469,-6.055784702301025,-4.276028633117676,-6.958889961242676,-6.465360164642334,-3.2544808387756348,98.33879852294922,97.74122619628906,95.66089630126953,98.97201538085938,99.63800048828125,99.46060180664062,-6.235036849975586,-4.1098504066467285,-7.338663578033447,-6.916156768798828,-3.7622146606445312
3,97.57360076904297,96.68122100830078,93.88027954101562,98.50479125976562,99.41464233398438,99.21125793457031,-6.393892288208008,-4.165702819824219,-7.624503135681152,-7.135794639587402,-3.5907278060913086,96.6332778930664,95.38176727294922,91.32403564453125,97.96473693847656,99.15213775634766,98.92152404785156,-5.947989463806152,-3.816992998123169,-7.195563316345215,-6.850205421447754,-3.7221407890319824
4,95.47683715820312,93.73722839355469,88.72437286376953,97.28722381591797,98.80017852783203,98.54145812988281,-6.054655075073242,-4.099392414093018,-7.416635036468506,-6.944205284118652,-3.338334321975708,94.20834350585938,91.96231842041016,85.30992126464844,96.53279876708984,98.40989685058594,98.16051483154297,-5.543412208557129,-3.408529758453369,-6.993934154510498,-6.7497639656066895,-3.66560697555542
