epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.98441314697266,99.93951416015625,99.96952056884766,100.00817108154297,99.9977798461914,100.01415252685547,-11.381726264953613,-8.790047645568848,-12.701998710632324,-12.910704612731934,-11.997288703918457,99.95358276367188,99.85551452636719,99.87677764892578,100.01283264160156,99.99882507324219,100.03340148925781,-10.960602760314941,-8.28222370147705,-12.230023384094238,-12.700428009033203,-12.282145500183105
1,99.84811401367188,99.5619125366211,99.64888000488281,99.984130859375,99.96512603759766,100.05978393554688,-11.303553581237793,-8.589962005615234,-12.532440185546875,-12.848889350891113,-12.379778861999512,99.64791870117188,99.07513427734375,99.31593322753906,99.90184783935547,99.89170837402344,100.088134765625,-10.796116828918457,-8.19623851776123,-12.204436302185059,-12.674901008605957,-12.294519424438477
2,99.1550064086914,97.96347045898438,98.60636901855469,99.65390014648438,99.67774200439453,100.087646484375,-12.958671569824219,-9.807007789611816,-14.427857398986816,-14.696285247802734,-14.131133079528809,98.53699493408203,96.46328735351562,97.65606689453125,99.29290771484375,99.36322784423828,100.04705810546875,-10.25105094909668,-7.9428253173828125,-12.062200546264648,-12.546849250793457,-12.285235404968262
3,97.4917221069336,94.0821762084961,96.06141662597656,98.66812133789062,98.80367279052734,99.88469696044922,-10.359902381896973,-8.007427215576172,-12.555334091186523,-13.036540985107422,-12.970193862915039,96.23084259033203,91.45655059814453,94.24751281738281,97.96209716796875,98.17437744140625,99.66526794433594,-9.243962287902832,-7.433904647827148,-11.751212120056152,-12.25803279876709,-12.197834968566895
4,94.56350708007812,88.18518829345703,91.8537368774414,97.009033203125,97.321533203125,99.32453918457031,-8.853796005249023,-7.2736735343933105,-11.672410011291504,-12.242836952209473,-12.387950897216797,92.91437530517578,84.6524429321289,89.2230453491211,95.98656463623047,96.41645812988281,98.9474105834961,-7.958286762237549,-6.713872909545898,-11.295197486877441,-11.834956169128418,-12.030348777770996
