epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,113.51786737546585,127.1556591796875,128.8048828125,112.08489685058593,107.73849685668945,100.51758361816407,-44.218241865634916,-44.43788066625595,-38.395474064350125,-36.63722323656082,-33.51683126688003,110.44149290343655,123.04224699514883,124.65965440538194,108.6912055545383,104.57320467631023,97.76243195710359,-40.61084680866312,-40.734743427347254,-35.59102344071424,-34.00893356844231,-31.123262222166414
1,110.90760123114848,122.82308670043945,124.44051177978515,108.9683006286621,104.87477828979492,98.09353576660156,-36.83447557210922,-36.96818654298782,-32.23509912252426,-30.878537838459014,-28.455089995861055,110.42719552980597,123.03196377224393,124.62635026154695,108.6796994385896,104.55441764548972,97.76328249330874,-40.60413063345132,-40.71340458812537,-35.583039002286064,-33.99571210366708,-31.12387091252539
2,109.59653204950082,121.00867813110352,122.49607131958008,107.08676223754883,103.05888961791992,96.45602066040038,-37.51741462945938,-37.614523096084596,-32.775474181175234,-31.329494607448577,-28.749574379920958,110.36125221075021,122.97038721155238,124.5014547418665,108.62562772962782,104.47432108278628,97.749845928616,-40.564112302329804,-40.63388265945293,-35.54575789085141,-33.939718896592105,-31.11430601830836
3,111.62669247681283,124.2142138671875,125.64902694702148,109.70002243041992,105.41605895996094,98.59858276367187,-46.004838135242466,-46.02652572154999,-40.33025925159454,-38.45387254238128,-35.35023423671723,110.16844327555124,122.77376005384657,124.17705133226183,108.45962044044778,104.25496779547797,97.67766493338125,-40.43625484682895,-40.42687565088272,-35.43121287226677,-33.78632550879761,-31.062995897399055
4,109.81593656360724,121.32017654418945,122.55483459472656,107.66121124267578,103.53545288085938,97.22434982299805,-43.16417793750763,-43.11528570652008,-38.2202056145668,-36.50173346757889,-33.848278200626375,109.83991637985488,122.42319926509151,123.66824220727992,108.16800032721625,103.89921188354492,97.5176304711236,-40.20786506158334,-40.10122773713536,-35.2298603841552,-33.53739415274726,-30.94920434444039
