global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
0,0,0,120,100.01173400878906,100.01173400878906,0.0010000000474974513
1,0,1,13,99.99556732177734,100.00504302978516,0.0010000000474974513
2,0,2,146,99.99378967285156,100.0025405883789,0.0010000000474974513
3,0,3,26,99.99246978759766,100.00009155273438,0.0010000000474974513
4,0,4,261,99.98892974853516,99.99684143066406,0.0010000000474974513
5,0,5,243,99.9869384765625,99.99442291259766,0.0010000000474974513
6,0,6,151,99.9860610961914,99.99314880371094,0.0010000000474974513
7,0,7,248,99.97240447998047,99.98966217041016,0.0010000000474974513
8,0,8,232,99.97956085205078,99.98814392089844,0.0010000000474974513
9,0,9,256,99.98026275634766,99.98710632324219,0.0010000000474974513
10,0,10,265,99.97500610351562,99.98602294921875,0.0010000000474974513
11,0,11,38,99.97545623779297,99.98530578613281,0.0010000000474974513
12,0,12,113,99.9705581665039,99.9843521118164,0.0010000000474974513
13,0,13,267,99.96526336669922,99.98312377929688,0.0010000000474974513
14,0,14,100,99.95203399658203,99.98101043701172,0.0010000000474974513
15,0,15,156,99.96220397949219,99.97981262207031,0.0010000000474974513
16,0,16,1,99.95158386230469,99.9781265258789,0.0010000000474974513
17,0,17,245,99.95460510253906,99.97718811035156,0.0010000000474974513
18,0,18,153,99.9546127319336,99.97595977783203,0.0010000000474974513
19,0,19,96,99.95158386230469,99.97505187988281,0.0010000000474974513
20,0,20,284,99.95219421386719,99.97393798828125,0.0010000000474974513
21,0,21,178,99.93859100341797,99.97311401367188,0.0010000000474974513
22,0,22,21,99.9115219116211,99.97103881835938,0.0010000000474974513
23,0,23,130,99.93645477294922,99.96949005126953,0.0010000000474974513
24,0,24,231,99.9387435913086,99.9681625366211,0.0010000000474974513
25,0,25,235,99.91539001464844,99.96720886230469,0.0010000000474974513
26,0,26,16,99.92980194091797,99.96521759033203,0.0010000000474974513
27,0,27,56,99.9249496459961,99.96370697021484,0.0010000000474974513
28,0,28,184,99.90284729003906,99.96197509765625,0.0010000000474974513
29,0,29,278,99.85191345214844,99.96004486083984,0.0010000000474974513
30,0,30,7,99.91280364990234,99.95792388916016,0.0010000000474974513
31,0,31,214,99.87615203857422,99.95658111572266,0.0010000000474974513
32,0,32,234,99.90603637695312,99.95497131347656,0.0010000000474974513
33,0,33,295,99.78353881835938,99.9494400024414,0.0010000000474974513
34,0,34,122,99.82701110839844,99.94758605957031,0.0010000000474974513
35,0,35,0,99.83818054199219,99.94436645507812,0.0010000000474974513
36,0,36,78,99.83120727539062,99.94280242919922,0.0010000000474974513
37,0,37,177,99.66899108886719,99.93927001953125,0.0010000000474974513
38,0,38,95,99.86193084716797,99.93775177001953,0.0010000000474974513
39,0,39,159,99.8420181274414,99.93501281738281,0.0010000000474974513
40,0,40,157,99.8480453491211,99.93304443359375,0.0010000000474974513
41,0,41,268,99.86048126220703,99.9305648803711,0.0010000000474974513
42,0,42,223,99.82121276855469,99.92931365966797,0.0010000000474974513
43,0,43,241,99.81216430664062,99.92784118652344,0.0010000000474974513
44,0,44,281,99.80420684814453,99.92585754394531,0.0010000000474974513
45,0,45,27,99.83938598632812,99.92316436767578,0.0010000000474974513
46,0,46,65,99.72531127929688,99.92105102539062,0.0010000000474974513
47,0,47,305,99.79669189453125,99.91960144042969,0.0010000000474974513
48,0,48,11,99.79811096191406,99.916748046875,0.0010000000474974513
49,0,49,106,99.81165313720703,99.91394805908203,0.0010000000474974513
50,1,0,18,99.59341430664062,99.59341430664062,0.0010000000474974513
51,1,1,125,99.77173614501953,99.64900207519531,0.0010000000474974513
52,1,2,109,99.78571319580078,99.69405364990234,0.0010000000474974513
53,1,3,52,99.71944427490234,99.70350646972656,0.0010000000474974513
54,1,4,291,99.7632064819336,99.71430969238281,0.0010000000474974513
55,1,5,218,99.76976776123047,99.723876953125,0.0010000000474974513
56,1,6,201,99.7149658203125,99.72318267822266,0.0010000000474974513
57,1,7,48,99.7494125366211,99.72636413574219,0.0010000000474974513
58,1,8,158,99.64441680908203,99.72113037109375,0.0010000000474974513
59,1,9,318,99.6673583984375,99.71430206298828,0.0010000000474974513
60,1,10,229,99.7157211303711,99.71446228027344,0.0010000000474974513
61,1,11,325,99.64773559570312,99.70802307128906,0.0010000000474974513
62,1,12,2,99.71651458740234,99.70904541015625,0.0010000000474974513
63,1,13,186,99.6823959350586,99.70793151855469,0.0010000000474974513
64,1,14,3,99.72148132324219,99.70887756347656,0.0010000000474974513
65,1,15,216,99.66148376464844,99.70642852783203,0.0010000000474974513
