epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.99028112694663,99.96235382080079,99.98811431884765,100.00412704467773,99.99717849731445,100.00724426269531,-11.385988569259643,-8.792740492820739,-12.701065020561218,-12.91058470249176,-11.99591718196869,99.97350129813711,99.9226188659668,99.94018363952637,100.01037964997468,99.99229127389414,100.01219064218027,-10.974635082262534,-8.291849544754735,-12.229486402538088,-12.698880618369138,-12.277351742541349
1,99.8717907630473,99.65775741577148,99.6344239807129,100.02669906616211,99.96328567504882,100.04908233642578,-11.325003068447113,-8.586745467185974,-12.543128414154053,-12.848504457473755,-12.377533111572266,99.63574772955958,99.13919745551215,99.09372866595233,100.0161013426604,99.87985286006221,100.08366224500868,-10.809469162314027,-8.162003311845991,-12.230793709004367,-12.6720571230959,-12.29351219203737
2,98.93533986160053,97.7282893371582,97.77041244506836,99.86834884643555,99.56094696044921,100.0378239440918,-12.893540875911713,-9.645102727413178,-14.488864221572875,-14.661742453575135,-14.117353801727296,98.03996244334621,95.80935358118128,95.96530363294814,99.60192751001429,99.08296034071181,99.9152867352521,-10.11653608083725,-7.688268546704893,-12.134670767519209,-12.478622561251676,-12.255422024815172
3,96.62696010185446,92.95419525146484,93.23070587158203,99.08323394775391,98.30019134521484,99.62261199951172,-10.119780688285827,-7.57290018081665,-12.658106961250304,-12.907106051445007,-12.907093138694764,94.98357969066915,89.89717667191117,90.25743138348615,98.48291178102846,97.44805985909922,99.27810492338958,-8.940782445448416,-6.859101835224363,-11.872636792836365,-12.082566876102376,-12.107511459677308
4,92.88359213784967,86.17986358642578,86.57682098388672,97.64759963989258,96.34571960449219,98.77376693725586,-8.46597859621048,-6.51311607837677,-11.82245900630951,-12.004545488357543,-12.2574973154068,90.84435453387457,82.2121837757252,82.66476433365433,96.7423341539171,95.19125076576516,98.23676660325792,-7.520705081798412,-5.823884301715427,-11.468774459980152,-11.543635101230056,-11.864654473684451
