epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,111.71424840678372,124.6103582763672,126.20451889038085,109.76566909790039,105.51512069702149,98.45786483764648,-45.69631696462631,-45.68957477331161,-40.00401371479035,-38.206942918300626,-34.89209046125412,110.44131222142174,123.04156034964102,124.66139772203233,108.6901311521177,104.57555290504739,97.75927790889034,-40.61040003321789,-40.7358692906521,-35.59028564338331,-34.010580445881246,-31.12101125827542
1,110.56120540145706,122.19384811401368,123.83654678344726,108.40228439331055,104.30860763549805,97.5040673828125,-39.35089139699936,-39.54485867977142,-34.723605680465695,-33.159944911003116,-30.37274828672409,110.4285897421022,123.02773362618906,124.64152590433757,108.6757864775481,104.56994918540671,97.7482790770354,-40.60139704744021,-40.72318883295412,-35.58037198362527,-34.0066551025267,-31.113177947424077
2,109.40422882855069,120.52299850463868,122.0090446472168,106.41828735351562,102.37727325439454,95.6506430053711,-35.80966499090195,-35.93825294971466,-31.418576183319093,-30.1157013630867,-27.747080199718475,110.36345898944897,122.95553581802933,124.55020092151783,108.60505195900247,104.52957167448821,97.69266340467665,-40.55448200746819,-40.66502063804202,-35.53158097355454,-33.97841554217868,-31.07364715580587
3,110.99485252456296,123.50742782592773,125.01439834594727,109.35342620849609,105.379716796875,98.68672058105469,-39.555947692394255,-39.66058411121369,-34.40337289333343,-32.92830282449722,-30.26052628993988,110.20379038033646,122.77560043334961,124.33899271929705,108.43639091209128,104.41435771518283,97.55786309418855,-40.43747074736489,-40.53033580272286,-35.41519282482289,-33.897834225937174,-30.977815409501392
4,109.84377928819887,122.27542755126953,123.71260864257812,108.07673278808593,104.1004524230957,97.24536895751953,-42.02344260931015,-42.11306051015854,-36.36926328420639,-34.699950366020204,-31.53122991323471,109.93104445324985,122.46573956807454,123.98793870431406,108.15356862103498,104.20324191340694,97.32934697469075,-40.23560893645993,-40.3059872355726,-35.21989610018554,-33.750171659169375,-30.81527225618009
