epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,111.20856586778079,123.0064958190918,124.63053649902344,108.99054763793946,104.87013626098633,98.01772415161133,-35.28306217193604,-35.458711252212524,-31.22164564371109,-29.94072007894516,-27.655437059402466,110.44225296691658,123.04373176009567,124.66300180223253,108.6917170771846,104.57501778779206,97.75899470293963,-40.611809494318784,-40.73690396768075,-35.591355937498584,-34.01020261534938,-31.12080718080203
1,110.01183431948654,122.1348715209961,123.6521827697754,108.08877349853516,104.0038020324707,97.22694473266601,-41.23907071113587,-41.434908480644225,-35.30441895723343,-33.6253670501709,-30.725294802188873,110.43440157024284,123.04289351569281,124.64688852098253,108.68429268731012,104.57075585259332,97.74804842913592,-40.61126031809383,-40.72657123428804,-35.586226030632304,-34.00720915639842,-31.11298069799388
2,109.14378292338624,120.76357330322266,122.27626373291015,106.62901138305664,102.611298828125,95.9716990661621,-44.53077065706253,-44.551610579490664,-39.33011744737625,-37.57597636699676,-34.36820903301239,110.39221519923628,123.02230460555465,124.57359850848162,108.64272781654641,104.54385828088832,97.69599893358019,-40.59785589796525,-40.67981147434976,-35.55751129984856,-33.98836667339007,-31.07593208109891
3,112.49031742796278,124.29027114868164,125.73758758544922,109.9620832824707,105.89509017944336,99.06826675415039,-41.31344530105591,-41.340319163799286,-36.2904781627655,-34.77361247301101,-31.99754230260849,110.24101456529786,122.91923092029712,124.3345723328767,108.49020830790202,104.43679413972077,97.53165315698695,-40.53085997700691,-40.527399980359604,-35.45227206525979,-33.91348267263837,-30.959100576462568
4,110.52669414532515,123.34423400878906,124.55136474609375,108.52574249267577,104.46309280395508,97.43070907592774,-48.82251057624817,-48.76457142591477,-42.58131501197815,-40.6667128777504,-36.971700866222385,109.8862421662585,122.6341350696705,123.8124073876275,108.1247295803494,104.1685932300709,97.17401087725604,-40.345344869075,-40.193593978881836,-35.199958077183474,-33.72592379539101,-30.70467205842336
