dataset,target,seed,backend,train_seconds,final_train_loss,final_val_loss,n_test_predictions,mape_overall,mae_us_overall,r2_overall,mape_avg,mape_p50,mape_p90,mape_p95,mape_p99,framework,init,device,deterministic,sample_order,seconds_per_train_step_mean,epochs_run
mawi_pcaps,delay,1,cpu,4082.09,88.2302546182184,88.07366317110822,247483,87.64315843582153,243.790665990673,-0.159038332855991,83.72561931610107,81.34289383888245,89.2727255821228,90.7650351524353,93.10945868492126,torch,keras,cpu,True,tensorflow_version_gt/replay/mawi_pcaps/RouteNetGauss/delay/seed_1/sample_order.npy,5.676385973930359,5
mawi_pcaps,delay,2,cpu,4094.92,87.45214367131369,87.6604737748153,247483,87.20495104789734,243.15208429470658,-0.15794697906918853,83.49753618240356,80.87607026100159,88.6099100112915,90.55368304252625,92.4875795841217,torch,keras,cpu,True,tensorflow_version_gt/replay/mawi_pcaps/RouteNetGauss/delay/seed_2/sample_order.npy,5.735357724189758,5
mawi_pcaps,jitter,1,cpu,4069.89,96.01298590193363,94.33203495141316,247452,94.14275288581848,38.777783629484475,-0.9554340732154087,89.94269967079163,85.01078486442566,98.09658527374268,98.20362329483032,99.46002960205078,torch,keras,cpu,True,tensorflow_version_gt/replay/mawi_pcaps/RouteNetGauss/jitter/seed_1/sample_order.npy,5.681293630599976,5
mawi_pcaps,jitter,2,cpu,2765.05,95.47574479165685,94.20726288719953,247452,94.01605129241943,38.55084287351929,-0.9312078284766221,91.87297821044922,85.13803482055664,96.53052687644958,98.40986132621765,98.12891483306885,torch,keras,cpu,True,tensorflow_version_gt/replay/mawi_pcaps/RouteNetGauss/jitter/seed_2/sample_order.npy,4.098669000625611,5
trex_multiburst,delay,1,cpu,2335.58,110.52669414532515,109.8862421662585,175028,111.15841865539551,150.1208753325045,-32.655435900092655,122.60863780975342,123.63705635070801,108.2484483718872,104.23499345779419,97.06289768218994,torch,keras,cpu,True,tensorflow_version_gt/replay/trex_multiburst/RouteNetGauss/delay/seed_1/sample_order.npy,5.957016843795777,5
trex_multiburst,delay,2,cpu,2368.91,109.81593656360724,109.83991637985488,175028,111.10876798629761,150.06652392912656,-32.633272670834444,122.38401174545288,123.48424196243286,108.29496383666992,103.94489765167236,97.43581414222717,torch,keras,cpu,True,tensorflow_version_gt/replay/trex_multiburst/RouteNetGauss/delay/seed_2/sample_order.npy,6.055667413711548,5
trex_multiburst,jitter,1,cpu,1886.72,92.88359213784967,90.84435453387457,174242,90.79908728599548,16.26003358978778,-2.8688839046211636,81.69137835502625,82.35781788825989,96.65833711624146,95.08404731750488,98.20385575294495,torch,keras,cpu,True,tensorflow_version_gt/replay/trex_multiburst/RouteNetGauss/jitter/seed_1/sample_order.npy,4.694335396766663,5
trex_multiburst,jitter,2,cpu,1912.63,92.25773704668666,90.43050956933916,174242,90.39986729621887,15.99674033059273,-2.6997899430684327,86.84744238853455,83.20099711418152,91.73026084899902,95.86458802223206,94.35600638389587,torch,keras,cpu,True,tensorflow_version_gt/replay/trex_multiburst/RouteNetGauss/jitter/seed_2/sample_order.npy,4.766145073890686,5
