epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,99.92696631009558,99.8945085144043,99.88659255981446,99.91297775268555,99.99923156738281,99.94112167358398,-11.164337034225463,-8.401513841152191,-12.648691725730895,-13.125474672317505,-12.663604607582092,99.79768754582123,99.72527454517505,99.66573171262388,99.77916576244213,99.9713836952492,99.86715924298322,-10.93319883942604,-8.249915720136077,-12.176014457587842,-12.693900137035936,-12.244443419906828
1,99.45898634375921,99.25859161376952,99.08731811523438,99.44484268188477,99.86627807617188,99.64230224609375,-12.065995533466339,-9.13096336364746,-13.008327622413635,-13.374194922447204,-12.539133472442627,98.99914096193028,98.6654039312292,98.33057354114673,99.02830484178331,99.71161383169668,99.358462439643,-10.709699466272637,-8.045354351953224,-12.000138584110472,-12.63156811065144,-12.126248362991545
2,98.21114327058483,97.60136657714844,96.9465153503418,98.32458129882812,99.39799179077148,98.87627548217773,-11.009219064712525,-8.264693238735198,-12.25979700088501,-12.86438687324524,-12.14070390701294,97.17647501946372,96.25984636942546,95.20991742169416,97.4426870699282,98.98372784367314,98.25794806303801,-10.209110439927489,-7.575931322795373,-11.630573236280018,-12.454513088420585,-11.869581235779656
3,95.7400084073161,94.34139297485352,92.67382476806641,96.23750289916993,98.37355056762695,97.43421905517579,-10.679404182434082,-7.713018825054169,-12.100435018539429,-13.075659461021424,-12.57073344707489,94.2462038909857,92.3617394765218,90.12013689676921,95.0089923010932,97.70902958622685,96.57071148907697,-9.422215580940247,-6.839748919010162,-11.07234329647488,-12.1454977106165,-11.47874316573143
4,92.25773704668666,89.75370422363281,86.83361404418946,93.46253662109375,96.8459571838379,95.53416687011719,-9.841838085651398,-7.083653841018677,-11.4684112739563,-12.841992874145507,-12.093910694122314,90.43050956933916,87.22531912061903,83.48915841844347,91.9292519180863,95.95626435456452,94.44775955765336,-8.433115097107711,-5.932948844300376,-10.383540369846203,-11.725153154797024,-10.993355148368412
